Item name,Category,Size/Quantity,Price,ImageURL,Image URL
BAULI VANILLA MRP 25,CHOCOLATE,PACKS,25,https://source.unsplash.com/200x200/?BAULI+VANILLA+MRP+25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMDFQY__Fdwhpbwqp9ibObStCnF5gJ7m4INoPfNNF2V0BzeDBex8CWbTOI&s
BEW BODY DEODRANT FALL150ML,SELF CARE,NUMBERS,199,https://source.unsplash.com/200x200/?BEW+BODY+DEODRANT+FALL150ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIpDWhgE99zbli5QxKekWFsrqO1mjYIAvse4wqijML0b_WQcTBw0AKfCe96Q&s
BEW BODY DEODRANT SPICY SPORT 150ML,SELF CARE,NUMBERS,199,https://source.unsplash.com/200x200/?BEW+BODY+DEODRANT+SPICY+SPORT+150ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWFor2rAUFOVz1P4gorj2XPC2KOMeSysC-Vs6of5XpoDH2dH3dQBeZERSeNRQ&s
BEW COCONUT MILK MOISTURAISING LOTION,SELF CARE,NUMBERS,199,https://source.unsplash.com/200x200/?BEW+COCONUT+MILK+MOISTURAISING+LOTION,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHpiGdrk_GA2J9J9CmFc8bQ9BZjqqW87_E-dbyIFGNwJ7xB0-3Bp9Q7i1n2g&s
BEW SMOOTH & SILKY 300ML SHAMPOO,SELF CARE,BOTTLES,160,https://source.unsplash.com/200x200/?BEW+SMOOTH+&+SILKY+300ML+SHAMPOO,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz408fRkApo3nAAjyE1a-V3bp77z-nG5rfll2gbmMqdO3P_nRNzHUSVUUgviA&s
bew soap Rs.50,Other,,0,https://source.unsplash.com/200x200/?bew+soap+Rs.50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTr63AdyXFMc1c7IwrElhAZAUQAr7vPTwHtjaRHaB9y-krigWXJRO1GxSJAqA&s
BEW TAN REMOVAL PAPAYA FACE WASH SCRUB 60GM,SELF CARE,PACKS,120,https://source.unsplash.com/200x200/?BEW+TAN+REMOVAL+PAPAYA+FACE+WASH+SCRUB+60GM,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQU6dGxt-EYUhM4-DBC8int8ZER93VYFaVJm1moTCdOFsjFqFewf-PWieRwGrU&s
BEW THICK & STRONG 300ML SHAMPOO,SELF CARE,BOTTLES,160,https://source.unsplash.com/200x200/?BEW+THICK+&+STRONG+300ML+SHAMPOO,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQERVCdlDlrx6t1YFMtk9RRwi1tfVuh-wsjjpc4KpLSxDsehZ1HnzfsJLBaR1U&s
BEW VITAMIN C 100ML FACE WASH,SELF CARE,NUMBERS,199,https://source.unsplash.com/200x200/?BEW+VITAMIN+C+100ML+FACE+WASH,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS78N9-ccXc6-C1dQ_2IIHvpcL5WrP55HUb2-XDiPd1bla3qg4WCZf54YaueQ&s
Bikaneri soan papdi Rs.68,SNACKS,BOX,68,https://source.unsplash.com/200x200/?Bikaneri+soan+papdi+Rs.68,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4zaK6MzwSOppxYWnJG57NP9hGft2rSCvq1wbGL08SqjwKXkVxcnCxU2-qmas&s
BING0 30,SNACKS,PIECES,30,https://source.unsplash.com/200x200/?BING0+30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRK_aY7ZUY8Uah54K8rhwFU-4sGqFW9xNXqcZt5zogEiPRppYmYwtMDBozwTdk&s
BINGO 20,SNACKS,PIECES,20,https://source.unsplash.com/200x200/?BINGO+20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQscYFLwbtzXlZEhHtNN1POribv5o1V3gtszRTtNEpBHcNEraPayRFP-tM3LCk&s
Bingo 50,SNACKS,PACKS,50,https://source.unsplash.com/200x200/?Bingo+50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIT3NZBzzLzVvPo5qpgrTGuw0-vNn6dBdgTrCsDdoGz85SZpEOR7229l_kYg&s
Black Hit Rs.140,Other,,0,https://source.unsplash.com/200x200/?Black+Hit+Rs.140,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvXLmHKFcHvQIl0EQQl8DyBQHUH8O7-p7aUS5uiObGEs2CSMeuKmx_tuF8s0Y&s
Black raisins 100g,DRY FRUITS,GRAMMES,65,https://source.unsplash.com/200x200/?Black+raisins+100g,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJRWGzIWJckq74nqk9VEdJj-HTyIm4vL3Fss5ZqLAZrfH18pWO-nmqK1Z_odo&s
Blanket,SELF CARE,,639,https://source.unsplash.com/200x200/?Blanket,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1Wh4nbz92aINHiMaGEnK8Vt63Y-fRwpc7drDJOLuoR9Ky8aXQKGWVXs97Fw&s
BODY SCRUB,TOILETRIES,PIECES,30,https://source.unsplash.com/200x200/?BODY+SCRUB,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoLH93MDzyc__4XpjCcIo-MjKyrUnrzaj4zTkvUhUIEJ2qxShj6_JC6xCaMjQ&s
Boomer,CHOCOLATE,PIECES,1,https://source.unsplash.com/200x200/?Boomer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjmhVzMMZ4aWoksa1rNtZRiX_w71kzXgv-XbsZH6vxteasn5COmsb0lpyHiQ&s
umbrella,SELF CARE,NUMBERS,350,https://source.unsplash.com/200x200/?umbrella,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6kMQgFjuvsK6tMtXcKXTGc17pj0iJ5jhm0c7nZ8dtPzQ9vUylVvDmB3lUo9w&s
BOURBON,BISCUITS,PIECES,10,https://source.unsplash.com/200x200/?BOURBON,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHmiQZRy6k4BY3UxLyaPvFvTP8lpunOJmXmfHwTeqlZfMkaPdcnwRy6NdRtuk&s
Bourbon 25rs,Other,PACKS,25,https://source.unsplash.com/200x200/?Bourbon+25rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSln2xbmQOfEMQ4TGE6x4zqM18u7lnXlAyGfydcQ2bd9TLku-3ZfmvK_EFQPw&s
Breakfast mix,DRY FRUITS,PACKS,290,https://source.unsplash.com/200x200/?Breakfast+mix,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOur5jPyAV52h0sb2PTMnMTVZ0Zd8f2LAGVGfUfZIaeyE2aRaNzZrjBiAZgw&s
